Heuristic,Depth,Expanded Nodes,fringe size
h1,13,172,120
h2,13,64,47
h3,13,61,45
h4,13,6136,3472
h1,7,14,15
h2,7,8,8
h3,7,8,8
h4,7,289,186
h1,9,30,25
h2,9,10,9
h3,9,10,9
h4,9,862,548
h1,13,158,107
h2,13,58,42
h3,13,56,41
h4,13,6191,3443
h1,5,6,7
h2,5,6,7
h3,5,6,7
h4,5,94,62
